"cluster";"X";"Y";"Freq";"id";"status"
0;-0.79054;-0.54549;1;"0 db 2";"exit"
0;-0.89277;-0.23106;2;"0 db 3";"exit"
0;-0.67392;-0.2401;2;"0 db 3";"exit"
2;-0.89696;0.10246;8;"2 db 4";"exit"
2;-0.93398;0.06768;8;"2 db 4";"exit"
2;-0.92764;0.16067;8;"2 db 4";"exit"
2;-0.9474;0.17968;8;"2 db 4";"exit"
2;-0.94282;0.06345;8;"2 db 4";"exit"
2;-0.9474;0.06417;8;"2 db 4";"exit"
2;-0.93421;0.19199;8;"2 db 4";"exit"
2;-0.95551;0.0288;8;"2 db 4";"exit"
0;-0.421;-0.1753;1;"0 db 5";"exit"
0;-0.83817;0.47023;1;"0 db 6";"exit"
0;0.42699;-0.59262;2;"0 db 8";"exit"
0;0.28981;-0.46581;2;"0 db 8";"exit"
0;0.10058;-0.73136;2;"0 db 9";"exit"
0;0.0348;-0.56316;2;"0 db 9";"exit"
0;-0.57059;-0.706;1;"0 db 10";"exit"
0;0.64347;-0.30058;1;"0 db 13";"exit"
2;-0.59424;0.71151;11;"2 db 13";"exit"
2;-0.37281;0.79975;11;"2 db 13";"exit"
2;-0.25406;0.66627;11;"2 db 13";"exit"
2;-0.48325;0.72847;11;"2 db 13";"exit"
2;-0.44912;0.83584;11;"2 db 13";"exit"
2;-0.27202;0.65807;11;"2 db 13";"exit"
2;-0.46561;0.61786;11;"2 db 13";"exit"
2;-0.6162;0.53085;11;"2 db 13";"exit"
2;-0.42432;0.85673;11;"2 db 13";"exit"
2;-0.51506;0.81611;11;"2 db 13";"exit"
2;-0.23215;0.77662;11;"2 db 13";"exit"
2;0.66283;-0.63695;3;"2 db 15";"exit"
2;0.64477;-0.67987;3;"2 db 15";"exit"
2;0.62505;-0.64603;3;"2 db 15";"exit"
2;0.8629;-0.36323;12;"2 db 16";"exit"
2;0.86108;-0.40297;12;"2 db 16";"exit"
2;0.77977;-0.51575;12;"2 db 16";"exit"
2;0.85477;-0.19724;12;"2 db 16";"exit"
2;0.85398;-0.40171;12;"2 db 16";"exit"
2;0.88613;-0.35765;12;"2 db 16";"exit"
2;0.83067;-0.43412;12;"2 db 16";"exit"
2;0.88661;-0.33427;12;"2 db 16";"exit"
